ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
24627,7.881,8.3,1701,14.24,1997,140,1,0.45,1,0,0
24646,31.6,4.3,725,5.24,1991,120,1.001,0.4,1,0,0
24673,4.847,12,2438,12.35,1985,130,1,0.47,1,18,0
24697,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
24713,7.943,7.58,796,9.43,1976,130,0.95,0.34,1,22.5,0
24727,5.187,15.72,16255,24.41,2005,160,1.159,0.88,1,0,0
24754,3.191,12.6,1608,15.46,1989,160,1.04,0.42,1,0,0
24766,3.262,16,4489,15.88,1997,160,1,0.6,1,0,0
24768,2.549,21.1,10230,19.6,2000,160,1.54,0.8,1,0,0
24834,9.513,6,616,12.96,1978,150,1.04,0.32,1,0,0
24839,3.355,19.2,11315,18.25,1986,140,1.11,0.84,1,0,0
24873,21.694,6.1,3317,12.56,1979,160,0.94,0.6,1,0,0
24884,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
24888,40.338,3.4,987,11.2,1991,120,0.748,0.4,1,0,0
24907,6.017,10.4,2697,15.71,2001,160,2.29,0.54,1,0,0
24912,5.869,11.5,4104,16.81,1978,110,1.04,0.56,1,0,1
24935,5.012,12.8,4018,14.7,1996,140,1.143,0.6,1,0,0
24952,15.829,6.1,1420,10.1,1972,160,1.031,0.5,1,0,0
24958,7.706,5.65,246,10.03,1992,130,1,0.25,1,0,0
24966,6.577,9.56,1823,12.45,1989,130,1.106,0.46,1,4.5,0
24974,5.425,12.23,3994,14.97,1986,130,1.005,0.61,1,11.016,1
25016,8.454,9,3704,19.49,1970,200,1.128,0.65,1,0,0
25045,11.426,6.28,1009,12.26,1992,160,1,0.39,1,0,0
25092,3.938,18.565,13629,18.25,2006,130,1.09,0.92,1,18,0
25095,12.731,8.1,3430,12.13,1990,120,1.104,0.7,1,0,0
25106,35.325,3.4,638,9.44,1973,120,1.274,0.35,1,0,0
25119,16.395,5.5,1287,12.91,1993,160,1.7,0.4,1,0,0
25120,6.051,11.72,3785,13.52,1995,120,1.32,0.6,1,3.6153,0
25126,5.364,11.19,2781,15.21,1998,160,1.84,0.5,1,10.3851,0
25160,6.254,9.4,1651,13.34,1996,120,1,0.46,1,0,1
25178,4.643,16.2,10739.9,17.85,1995,140,1.173,0.85,1,0,0
25200,13.379,6,849,9.03,1966,120,0.914,0.37,1,0,0
25225,16.853,6,1368,9.17,1965,120,1.155,0.37,1,0,1
25228,6.008,10.2,2141,13.52,1993,100,1.149,0.47,1,0,0
25286,16.514,7.1,2758,9.82,1988,120,1.05,0.59,1,0,0
25288,25.113,4.3,824,9.43,1971,160,1.001,0.4,1,0,0
25310,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
25349,9.382,9.55,3163,10.66,1933,160,1.216,0.65,1,0,0
25356,7.394,11.6,7640,19.041,1994,200,1,0.6,1,0,0
25366,17.029,7.1,2858,9.57,1970,120,1.05,0.6,1,0,0
25376,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
25381,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
25386,5.555,9.1,969,11.3,1985,120,0.99,0.37,1,0,0
25412,7.558,11.56,6285,15.2,1978,140,1.15,0.75,1,5.85,1
25424,4.732,15.79,9228,16.36,1979,160,1.07,0.76,1,16.2,0
25431,12.663,8,2726,10.24,1964,160,0.88,0.6,1,0,0
25438,8.893,7.1,927,11.38,1953,150,0.928,0.38,1,0,0
25451,4.558,11,1992,16.16,1999,120,1,0.42,1,11.34,0
25521,7.529,9.1,2437,15.47,1997,200,1,0.5,1,6.3,0
25531,3.571,17.31,12086,26.04,1993,160,1.07,0.75,1,11.7,0
25546,7.532,8.2,1319,12.69,1980,110,1.27,0.42,1,8.04509999999999,1
25547,5.7,13.55,8554,19.27,2000,160,1.21,0.8,1,0,0
25567,4.902,12.686,3503,13.89,1982,140,1.24,0.54,1,0,0
25584,5.849,9.47,1415,12.69,1985,120,1.22,0.41,1,2.367,0
25607,7.578,5.65,208,8.77,1992,130,1,0.25,1,0,0
25614,11.699,10,7703.4,13.887,1964,160,1.03,0.7,1,0,1
25621,5.07,12.5,3924,15.43,1992,120,1.06,0.6,1,0,0
25657,16.673,7.1,3327,11.62,1991,120,1.05,0.6,1,14.004,0
25674,12.928,5.9,916,11.16,2003,130,1.74,0.4,1,0,0
25681,4.412,12.4,2940,15.76,2001,200,1,0.57,1,7.56,0
25696,5.7,13.55,8554,19.27,1999,160,1.21,0.8,1,0,0
25711,4.82,15.92,12425,20.54,2001,250,1.18,0.88,1,0,0
25718,12.904,6.5,1271,10.55,1936,160,1.097,0.5,1,0,0
25736,4.737,15,8517,18.5,2002,120,1.04,0.77,1,0,0
25741,7.164,12.2,5825,12.64,1948,120,1.42,0.7,1,0,0
25745,5.042,12.8,4018,14.53,1996,140,1.143,0.6,1,0,0
25750,5.385,12.05,3323,13.41,1974,130,1.334,0.54,1,5.4,0
25752,10.655,7.4,1490,10.8,1965,120,0.953,0.385,1,0,1
25758,10.405,11,13542,21.08,2000,160,1,0.98,1,0,0
25762,10.817,7.2,1379,10.82,1980,120,0.939,0.4,1,0,0
25791,16.514,7.1,2758,9.82,1988,120,1.05,0.59,1,0,0
25798,13.538,6.1,1013,9.85,1970,160,1,0.48,1,0,0
25812,10.628,6.1,784.1,12.37,1991,120,1.031,0.37,1,0,0
25818,7.881,8.3,1701,14.24,1997,140,1,0.45,1,0,0
25867,11.008,6.46,863,10.09,1980,140,1.1,0.34,1,0,0
25880,5.493,10,1687.8,13.8,1999,160,1.35,0.473,1,0,0
25893,10.628,6.1,784.1,12.37,1991,120,0.912,0.37,1,0,0
25903,5.455,10,1643.5,13.63,1999,160,1.35,0.473,1,0,0
25926,10.857,6.3,973,12.93,1992,130,1,0.39,1,0,0
25935,11.866,5.6,454,8.09,1992,160,1.67,0.25,1,0,0
25968,2.993,17,4707,15.518,1992,160,1.066,0.61,1,30.474,0
26002,12.995,5.5,816,13.03,1986,140,1,0.35,1,0,1
26003,7.87,9.06,2395,14.16,1986,140,1.7,0.5,1,5.4,1
26008,4.275,14.75,5074,14.47,2010,130,1.14,0.64,1,0,0
26025,4.488,14.3,5898,17.275,1999,120,1.22,0.58,1,0,0
26034,16.853,6,1368,9.17,1965,120,1.155,0.37,1,0,1
26036,18.902,6.1,1654,8.25,1983,130,1.033,0.5,1,0,0
26038,16.395,5.5,1287,12.91,1993,160,1.7,0.4,1,0,0
26047,12.904,6.5,1271,10.55,1936,160,1.097,0.5,1,0,0
26085,5.869,11.5,4104,16.81,1978,110,1.04,0.56,1,0,1
26090,10.203,6.71,863,10.09,1980,140,1.1,0.34,1,0,0
26100,15.689,7.1,2943,11.61,1969,100,1.033,0.6,1,0,0
26107,7.068,8.2,1354,14.79,1998,130,1.39,0.41,1,0,0
26143,6.087,13.87,12396,22.302,1996,200,1.4,0.9,1,29.28366,0
26196,5.7,13.55,8554,19.27,2000,160,1.21,0.8,1,0,0
26209,15.978,6.1,1338,9.34,1971,120,1.057,0.5,1,0,0
26244,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
26284,5.07,12.5,3924,15.43,1992,120,1.06,0.6,1,0,0
26292,5.7,13.55,8554,19.27,2000,160,1.21,0.8,1,0,0
26300,5.231,14,7626,17.9,1994,160,1.7,0.7,1,0,0
26324,12.352,8,3460,13.66,1968,120,1.095,0.6,1,0,0
26331,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
26371,4.629,15,9545,21.71,1985,120,1.009,0.73,1,0,0
26386,5.38,11.1,2363,13.27,1980,130,1.452,0.47,1,0,0
26390,13.413,7.1,2203.2,11.89,1981,120,1.05,0.6,1,0,0
