n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
5.435,13.45,7436.65,18.98,1995,230,2.32,9.999
3.902,19.5,17477,19.59,1995,200,1.232,9.999
3.634,21.2,24317,22.49,1995,160,1.365,9.999
24.626,4.6,701,6.37,1982,80,1.037,9.999
2.877,20.2,11172,20,1997,230,1.29,9.999
5.061,16.4,14416,19.2,1996,230,1.57,9.999
3.867,19.5,17477,19.94,1995,160,1.232,9.999
29.689,4,988.6,10.81,1958,160,9.999,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
4.776,17.5,18526,21.37,1998,120,1.34,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.7,13.55,8554,19.27,1999,160,1.21,9.999
5.364,11.19,2781,15.21,1998,160,1.84,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
2.549,21.1,10230,19.6,2000,160,1.54,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
2.549,21.1,10230,19.6,1999,160,1.54,9.999
5.576,13.7,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
2.549,21.1,10230,19.6,1999,160,1.54,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
9.833,8,2613,16.28,1998,120,2.83,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.576,13.7,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.7,13.55,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
2.549,21.1,10230,19.6,2000,160,1.54,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
9.833,8,2613,16.28,1998,120,2.83,9.999
5.364,11.19,2781,15.21,1998,160,1.84,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
4.776,17.5,18526,21.37,1998,120,1.34,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,1999,160,1.21,9.999
5.7,13.55,8554,19.27,2000,160,1.21,9.999
5.7,13.55,8554,19.27,1999,160,1.21,9.999
20.79,5,1085,9.91,1902,140,0.756,9.999
5.7,13.55,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
5.7,13.55,8554,19.27,2000,160,1.21,9.999
5.742,13.5,8554,19.27,2000,160,1.21,9.999
4.845,17.13,21163,25.83,1972,150,1.016,9.999
4.571,17.13,15440,21.18,2003,150,1.016,9.999
16.519,6.9,2434,9.71,1914,140,1.22,9.999
16.519,6.9,2434,9.71,1914,140,1.22,9.999
16.519,6.9,2434,9.71,1914,140,1.22,9.999
16.519,6.9,2434,9.71,1914,140,1.22,9.999
3.634,21.2,24317,22.49,1995,160,1.16,9.99
3.867,19.5,17477,19.94,1995,160,1.06,9.99
3.902,19.5,17477,19.59,1995,200,1.05,9.99
8.243,10,4332,15.73,1969,200,0.94,9.99
8.243,10,4332,15.73,1969,200,0.94,9.99
14.301,3.54,209.83,16.12,1988,160,1.09,9.9
14.417,3.5,209.83,16.6,1988,160,1.08,9.9
5.716,8.1,1319.35,23.15,1931,160,1.5,9.9
5.778,16,17556,19.8,1910,160,1.753,9.522
2.693,24.85,27911,24.9,2007,130,1.309,9.185
3.037,22.8,27358,27.08,1996,130,1.27,8.6
10.569,9.5,5443,14.76,1923,120,1.806,8.507
4.804,17.2,12113,14.8,1919,160,1.156,8.338
3.397,21,19477,21.41,1990,160,1.49,8.26
3.397,21,19477,21.41,1990,160,1.49,8.26
15.923,8.8,21402,34.73,1917,160,2.684,8.156
2.453,25.5,19908,19.3,1977,100,1.19,8
2.447,25.5,20124,19.62,1977,100,1.19,8
3.062,22.8,25028,24.37,1996,130,1.23,7.8
2.914,21,13280,19.84,1992,140,1.5,7.79
2.8,21,12084,19.55,1992,140,1.5,7.79
9.934,10.8,6040,11.1,1917,130,2.21,7.564
8.884,12.9,36183,40.85,1928,160,1.223,7.491
9.407,8.7,2264,11.02,1952,100,1.578,7.481
9.407,8.7,2264,11.02,1952,100,1.578,7.481
11.162,10.8,25659,37.35,1914,160,1.588,7.273
16.101,3.6,111,6.29,1950,130,1.117,6.907
16.101,3.6,111,6.29,1950,130,1.117,6.907
7.168,11.15,5639,17.52,1927,120,1.066,6.86
6.675,11.4,5639,18.49,1927,120,1.066,6.86
3.429,23.5,39011,26.85,2010,200,1.24,6.8
3.391,23.5,37157,26.14,2010,200,1.24,6.8
3.636,23.5,38167,23.36,2010,160,1.24,6.8
3.429,23.5,39011,26.85,2010,160,1.24,6.8
8.394,9,3539,18.89,1927,160,1.123,6.598
11.564,8,3248,14.63,1908,150,1.434,6.502
12.117,10.48,29393,40.95,1915,160,1.329,6.407
4.165,17.6,14173,21.01,1990,140,1.44,6.38
9.879,10.6,5818,11.65,1914,160,1.85,6.321
6.521,15,18320,21,1989,120,1.445,6.275
9.382,9.55,3163,10.66,1933,160,1.216,6.232
9.382,9.55,3163,10.66,1933,160,1.216,6.232
9.382,9.55,3163,10.66,1933,160,1.216,6.232
9.382,9.55,3163,10.66,1933,160,1.216,6.232
9.382,9.55,3163,10.66,1933,100,1.216,6.232
9.382,9.55,3163,10.66,1933,100,1.216,6.232
7.887,10.8,4404,12.84,1915,160,1.761,6.15
11.624,9.3,5329,13.01,1926,140,0.943,6.1
10.028,9.3,3802,12.47,1926,140,0.943,6.1
10.566,12,23288,24.82,1950,150,1.8,6
10.566,12,23288,24.82,1936,150,1.8,6
8.284,12.904,22223,28.82,1915,180,1.31,5.99
7.949,12.9,11284,15.91,1915,180,1.31,5.99
7.916,12.9,12581,17.89,1915,120,1.31,5.99
7.91,12.9,11377,16.2,1915,120,1.31,5.99
9.561,10.82,17072,33.62,1915,180,1.69,5.83
6.143,12.8,8224,20.03,1961,160,1.054,5.81
6.153,12.8,8177,19.85,1961,160,1.054,5.81
13.183,6.7,1171,8.25,1925,140,1.6,5.8
13.183,6.7,1171,8.25,1925,140,1.6,5.8
5.436,15,9580,15.8,1974,150,1.11,5.771
5.436,15,9580,15.8,1974,150,1.11,5.771
16.984,7.6,3436,8.81,1926,130,1.302,5.769
16.984,7.6,3436,8.81,1926,130,1.302,5.769
16.984,7.6,3436,8.81,1926,130,1.302,5.769
16.984,7.6,3436,8.81,1926,130,1.302,5.769
5.738,15,27700,41,1914,160,1.341,5.759
13.1,10.5,17627,20.85,1915,140,1.63,5.72
10.727,6.6,1000,11.3,1948,160,1.169,5.692
10.727,6.6,1000,11.3,1948,160,1.169,5.692
7.847,10.4,4481,15.35,1911,80,0.849,5.674
15.182,5.25,914,12.88,2001,160,1.061,5.667
15.182,5.25,914,12.88,2001,160,1.061,5.667
6.011,13.5,9622,19.78,1978,140,1.974,5.666
6.011,13.5,9622,19.78,1978,140,1.974,5.666
10.075,8.46,1882,8.93,1925,140,0.824,5.657
10.075,8.46,1882,8.93,1925,140,0.824,5.657
7.029,8.97,2249,17.35,2001,200,1.93,5.6
9.173,11.2,9873,18.4,1961,160,2.012,5.556
9.173,11.2,9873,18.4,1961,160,2.012,5.556
13.4,7.6,2139,8.81,1926,130,1.217,5.543
13.4,7.6,2139,8.81,1926,130,1.217,5.543
13.4,7.6,2139,8.81,1926,130,1.217,5.543
13.4,7.6,2139,8.81,1926,130,1.217,5.543
9.239,8.65,2150,11.1,1950,160,1.04,5.537
9.239,8.65,2150,11.1,1950,160,1.04,5.537
9.038,8.65,2150,11.6,1950,160,1.04,5.537
9.239,8.65,2150,11.1,1950,160,1.04,5.537
11.165,7.8,4084,21.84,1950,160,1.243,5.517
25.274,6.6,4485,9.13,1910,160,1.25,5.49
25.274,6.6,4485,9.13,1910,160,1.25,5.49
25.274,6.6,4485,9.13,1910,160,1.25,5.49
12.742,7.5,2415,11.6,1927,130,1.034,5.454
6.266,13.2,9623,19.92,1979,130,1.88,5.43
5.055,11.2,2788,17.11,1979,130,1.97,5.38
9.484,8.9,3303,14.44,1928,80,1.288,5.358
9.463,8.9,3322,14.59,1928,60,1.288,5.358
12.953,6.6,2791,21.63,1928,160,1.106,5.352
10.553,7.8,2850,17.06,1914,160,1.358,5.333
21.733,5.8,2110,9.74,1908,140,1.109,5.291
18.547,6.6,2878,10.88,1925,130,1.61,5.232
18.45,6.6,3288,12.56,1925,130,1.61,5.232
18.36,6.6,3383,13.05,1925,130,1.61,5.232
9.604,9.65,3663,11.3,1913,160,1.702,5.225
4.77,14.6,22706,54.2,1910,150,0.821,5.218
7.164,12.2,5825,12.64,1948,120,1.42,5.2
7.164,12.2,5825,12.64,1948,120,1.42,5.2
7.867,11.3,6020,14.72,1916,100,0.956,5.122
7.849,11.3,5418,13.31,1916,100,0.956,5.122
16.994,7,4103,14.6,1948,160,0.9,5.1
30.706,6.06,5035,9.77,1937,120,1.18,5.1
16.994,7,4103,14.6,1948,160,0.9,5.08
5.893,14.15,10155,18,1991,200,1.856,5
6.559,16.05,19960,17.25,1971,80,1.51,5
6.559,16.05,19960,17.25,1971,80,1.51,5
6.517,16.05,17545,15.36,1971,80,1.51,5
6.585,16.05,22575,19.36,1971,80,1.51,5
15.029,7.6,4746,15.54,1934,140,1.43,5
15.029,7.6,4746,15.54,1934,140,1.43,5
11.039,9.5,4799,11.93,1937,130,1.21,5
11.297,9.5,4895,11.62,1937,130,1.21,5
6.814,11.74,5898,16.5,2006,160,1.48,5
6.761,11.74,5898,16.76,2006,160,1.48,5
4.819,15.77,10124,17.39,1981,130,1.46,5
4.819,15.77,10124,17.39,1981,130,1.46,5
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
8.093,12.6,10425,15.58,1946,120,1.022,4.978
3.853,12.2,1950,14.63,1983,120,1.57,4.97
19.918,6.15,2199,9.56,1932,160,1.398,4.96
19.918,6.15,2199,9.56,1932,160,1.398,4.96
7.315,13.6,12225,16.48,1947,140,1.04,4.95
8.739,8.9,2653,13.66,1927,60,1.195,4.935
4.991,13.8,5634,15.39,1982,160,1.43,4.9
4.991,13.8,5634,15.39,1982,160,1.43,4.9
5.131,13.73,6299,16.61,1981,160,1.595,4.89
5.131,13.73,6299,16.61,1981,160,1.595,4.89
8.812,10.6,21851,55,1914,160,1.33,4.872
8.808,10.6,26994,68,1914,160,1.33,4.872
15.96,5.7,1002.6,9.2,1931,80,3.678,4.871
7.229,11,3802,12.26,1925,140,1.226,4.858
7.229,11,3802,12.26,1925,140,1.226,4.858
32.228,5.75,5448,11.84,1936,130,1.11,4.85
11.467,8.3,3561,14.08,1909,130,1.085,4.823
11.467,8.3,3561,14.08,1909,130,1.085,4.823
11.114,6.7,1595,15.81,1927,160,1.019,4.818
4.839,13.8,5427,15.77,1980,160,1.42,4.8
4.839,13.8,5427,15.77,1980,160,1.42,4.8
11.151,9.44,5867,14.66,1936,120,1.576,4.784
11.405,9.44,5400,12.9,1936,120,1.576,4.784
5.385,12.05,3323,13.41,1974,130,1.334,4.782
5.385,12.05,3323,13.41,1974,130,1.334,4.782
5.198,12.2,2911,12,1974,160,1.56,4.76
5.198,12.2,2911,12,1974,160,1.56,4.76
5.011,11.7,2817,14.773,1981,140,1.61,4.76
5.011,11.7,2817,14.773,1981,140,1.61,4.76
14.087,8.1,10351,29.9,1933,130,1.122,4.75
7.427,10.42,2746,10.42,1926,140,1.094,4.66
13.109,8,3021,10.59,1927,130,0.905,4.653
14.729,8.2,4921,12.38,1925,110,1.238,4.604
14.729,8.2,4921,12.38,1925,110,1.238,4.604
9.266,8.86,2213,10.32,1915,100,1.632,4.588
17.359,6.6,6449,27.83,1914,160,0.927,4.564
6.095,11.95,8955,29.17,1981,130,1.195,4.564
6.071,12.64,7390,19.38,1996,160,1.66,4.53
6.111,12.64,7390,19.13,1996,160,1.66,4.5
11.08,6.75,1035,10.02,1955,60,0.82,4.47
17.3,6.6,6449,28.02,1915,160,0.837,4.447
4.535,13.5,3303,11.93,1973,160,1.26,4.42
4.535,13.5,3303,11.93,1973,160,1.26,4.42
19.651,7.8,6494,11.21,1939,110,0.937,4.39
15.682,8.15,5026,11.43,1913,140,0.845,4.376
12.612,8.45,4115,12.52,1951,140,0.845,4.376
24.47,5.6,2463,10.32,1923,140,1.37,4.37
130.967,2.06,1695,13.54,1934,160,1.333,4.352
130.967,2.06,1695,13.54,1934,160,1.333,4.352
4.418,16.5,11001,18.76,1978,160,0.922,4.339
4.418,16.5,11001,18.76,1978,160,0.922,4.339
53.892,2.2,150,5.44,1957,160,1.13,4.32
19.098,6.7,3920,13.16,1913,130,1.42,4.3
19.098,6.7,3920,13.16,1913,130,1.42,4.3
28.653,5.7,2845,8.1,1927,140,0.946,4.284
20.738,6.7,2845,8.1,1927,140,0.946,4.284
20.738,6.7,2845,8.1,1927,130,0.946,4.284
20.738,6.7,2845,8.1,1927,130,0.946,4.284
10.228,8.6,2943,12.69,1950,130,0.81,4.25
10.302,8.6,2621,11.14,1950,130,0.81,4.25
9.165,7.26,888,9.39,1969,160,1.07,4.24
9.165,7.26,888,9.39,1969,160,1.07,4.24
16.54,6.85,1635.5,6.7,1915,160,1.2,4.22
16.54,6.85,1635.5,6.7,1915,160,1.2,4.22
17.736,4.8,670,9.9,1915,160,1.406,4.209
12.068,8.6,9127,28.27,1928,160,1.257,4.2
12.614,12.75,29074,17.06,1981,160,1.18,4.2
12.614,12.75,29074,17.06,1981,160,1.18,4.2
21.714,5.75,2047,9.8,1959,120,1.15,4.175
6.132,9.51,2742,22,2014,200,2.04,4.17
7.938,9.8,3173,13.47,1919,160,1.706,4.152
7.938,9.8,3173,13.47,1919,160,1.706,4.152
13.579,9,5364,10.94,1910,110,1.469,4.143
11.955,9,3352,8.82,1910,110,1.469,4.143
11.692,9.26,10539,25.87,1928,160,1.116,4.12
13.529,5.1,677,13.49,1923,200,1.251,4.093
13.529,5.1,677,13.49,1923,200,1.251,4.093
5.426,12.43,4333,15.21,1976,160,1.07,4.08
5.426,12.43,4333,15.21,1976,160,1.07,4.08
9.052,10.5,7193,17.82,1916,140,1.27,4.08
18.904,6.4,4140.6,17.04,1929,120,1.12,4.05
18.904,6.4,4140.6,17.04,1929,120,1.12,4.05
14.783,5.6,1196,13.73,1933,200,1.059,4.035
14.598,5.6,1196,14.08,1933,200,1.059,4.035
14.152,5.6,1116,13.98,1924,200,1.059,4.035
14.461,5.6,1196,14.35,1933,200,1.059,4.035
14.017,5.6,1116,14.25,1924,200,1.059,4.035
14.333,5.6,1116,13.63,1924,200,1.059,4.035
7.015,10.8,3147.2,11.6,1971,160,1.304,4.009
5.074,13.67,5279,14.49,1974,160,0.72,4
4.976,13.67,5544,15.82,1974,160,0.72,4
25.938,5.5,3331,13.35,1935,160,1.35,4
25.938,5.5,3331,13.35,1935,160,1.35,4
4.983,14.03,6735,17.27,1981,120,1.21,4
4.983,14.03,6735,17.27,1981,120,1.21,4
3.817,15,3900.9,13.05,1992,130,1.04,4
3.722,15,4669.5,16.43,1992,130,1.04,4
10.023,8.5,2678,12.6,1909,160,0.76,4
11.892,10,11210,19.56,1907,120,0.975,4
4.752,13.6,4900,15.65,1989,140,1.27,4
4.784,13.6,4938,15.56,1989,140,1.27,4
4.441,14.4,5599,16.29,1998,110,1.09,4
4.441,14.4,5599,16.29,1998,110,1.09,4
11.892,10,11210,19.56,1907,120,0.975,4
20.037,5,899,8.84,1929,160,1,4
5.383,13.36,6386,17.07,1979,130,1.39,4
20.754,5,899,8.24,1929,160,1,4
5.383,13.36,6386,17.07,1979,130,1.39,4
9.676,12.15,14389,17.4,1936,140,1.28,4
21.932,8.8,23019,19.69,1950,150,1.7,4
3.633,15.14,4945,17.59,1989,150,1.07,4
21.316,5.85,2202,10.21,1948,160,0.965,4
9.676,12.15,14389,17.4,1936,140,1.28,4
3.698,15.14,4135,14.2,1989,150,1.07,4
4.824,14.88,8555,18.5,1984,140,1.31,4
21.932,8.8,23019,19.69,1950,150,1.7,4
4.824,14.88,8555,18.5,1984,140,1.31,4
21.316,5.85,2202,10.21,1948,160,0.965,4
7.427,10.42,2746,10.42,1926,140,0.935,3.983
16.535,6.6,1682,8,1910,160,1.68,3.98
16.535,6.6,1682,8,1910,160,1.68,3.98
16.535,6.6,1682,8,1910,160,1.68,3.98
16.535,6.6,1682,8,1910,160,1.68,3.98
11.294,9.3,4010,10.37,1908,100,1.496,3.966
11.294,9.3,4010,10.37,1908,100,1.469,3.966
15.278,5.3,530,7.1,1925,140,0.827,3.961
15.278,5.3,530,7.1,1925,140,0.827,3.961
20.002,5.4,1580,11.46,1976,160,1.388,3.938
19.906,5.4,1580,11.57,1976,160,1.388,3.938
13.885,6.8,2633,15.76,1913,190,1.161,3.935
13.885,6.8,2633,15.76,1913,190,1.161,3.935
17.093,5.5,895,8.26,1905,200,0.97,3.93
14.027,6.5,4413,31,1914,160,1.126,3.919
98.397,2.22,772,8.1,1903,160,1.75,3.88
55.11,2.5,514,10.69,1926,120,1.4,3.88
53.942,2.5,521,11.31,1926,120,1.4,3.88
21.6,5.68,2655,13.49,1904,160,0.9,3.86
19.716,6,2442,11.96,1934,160,0.9,3.86
10.796,9.5,4267,11.09,1925,110,1.45,3.84
10.796,9.5,4267,11.09,1925,110,1.45,3.84
21.896,5.5,6986,39.29,1917,160,1.02,3.836
5.372,13.43,12217,32.11,2008,160,1.59,3.83
19.13,4.8,622,7.9,1934,160,1.265,3.827
19.13,4.8,622,7.9,1934,160,1.265,3.827
12.91,7,1372,8.46,1925,140,1.074,3.825
12.91,7,1372,8.46,1925,140,1.074,3.825
5.479,11,2636,14.8,1940,130,1.182,3.813
7.077,10.8,4988,18.06,1979,140,1.32,3.8
13.324,7.5,2083,9.15,1905,140,0.93,3.8
4.947,12.3,3594,15.83,1990,160,1.24,3.8
13.324,7.5,2083,9.15,1905,140,0.93,3.8
4.947,12.3,3594,15.83,1990,160,1.24,3.8
15.62,4.9,407,7.14,1958,160,1.03,3.77
15.62,4.9,407,7.14,1958,160,1.03,3.77
27.855,4.8,2721,16.3,1934,160,1.42,3.75
27.855,4.8,2721,16.3,1934,160,1.42,3.75
3.557,15.3,5328,18.96,2004,90,1.05,3.74
17.949,5,852,10.44,1929,160,1.132,3.736
18.08,5,852,10.29,1929,160,1.132,3.736
35.463,3.7,534,5.59,1919,140,2.077,3.724
30.573,3.6,586,9.21,1927,120,1.125,3.724
12.266,8.59,4253,12.81,2004,200,1.39,3.72
12.266,8.59,4253,12.81,2004,200,1.39,3.72
14.256,6,1013,9.49,1960,160,1.19,3.72
14.256,6,1013,9.49,1960,160,1.19,3.72
14.666,5.9,1013,9.59,1960,160,1.19,3.72
14.743,5.9,1013,9.49,1960,160,1.19,3.72
11.765,8.6,3578,11.66,1913,120,1.42,3.72
11.946,8.6,2806,8.87,1913,120,1.42,3.72
28.62,4,962,11.32,1927,160,1.12,3.72
28.62,4,962,11.32,1927,160,1.12,3.72
28.62,4,962,11.32,1927,160,1.12,3.72
28.62,4,962,11.32,1927,160,1.12,3.72
12.194,7.65,2000,9.69,1905,120,0.84,3.7
12.194,7.65,2000,9.69,1905,120,0.84,3.7
12.158,7.5,1494,7.882,1913,140,1.45,3.7
12.158,7.5,1494,7.882,1913,140,1.45,3.7
7.788,8.6,1479,11,1910,70,0.664,3.691
8.122,8.6,1901,13,1910,70,0.664,3.691
22.059,5.8,3557.5,15.94,1934,140,1.344,3.689
32.157,3.5,744,11.83,1935,140,1.23,3.68
25.273,4.4,848,8.74,1919,140,1.349,3.669
25.273,4.4,848,8.74,1919,140,1.349,3.669
17.436,6.1,1508,8.84,1977,160,0.93,3.66
17.436,6.1,1508,8.84,1977,160,0.93,3.66
68.758,2.1,256,6.87,1927,160,1.27,3.65
70.875,2.1,312,7.88,1927,160,1.27,3.65
27.284,4.55,1028,7.95,1997,110,1.245,3.65
27.284,4.55,1028,7.95,1997,110,1.245,3.65
5.788,13,6115,15.77,1983,140,1.01,3.65
5.788,13,6115,15.77,1983,140,1.01,3.65
21.858,8.7,20434,18.42,1956,160,1.469,3.645
22.063,8.7,20434,18.08,1956,160,1.469,3.645
21.152,5,1488,13.13,1915,160,1.237,3.612
8.047,10.5,4409,13.82,1930,70,1.257,3.612
8.043,10.5,4331,13.59,1930,70,1.257,3.612
8.043,10.5,4331,13.59,1930,70,1.257,3.612
5.005,13.73,6336,17.56,2002,200,1.05,3.61
5.005,13.73,6336,17.56,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.005,13.73,6336,17.56,1999,200,1.05,3.61
5.005,13.73,6336,17.56,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.022,13.73,6227,17.14,1999,200,1.05,3.61
5.005,13.73,6336,17.56,1999,200,1.05,3.61
28.042,4.45,1406,11.25,1965,130,1.2,3.6
14.621,5.5,639,8.06,1902,160,0.83,3.58
14.621,5.5,639,8.06,1902,160,0.83,3.58
53.251,2.8,486,6.88,1935,90,0.851,3.575
18.573,5.28,1079,9.93,1964,200,1.386,3.564
18.573,5.28,1079,9.93,1964,200,1.386,3.564
14.453,6.5,2672,17.68,1995,250,3.56,3.56
7.588,10.8,3683,11.6,1930,200,1.118,3.555
16.648,6.5,1606,8.01,1909,160,0.983,3.524
16.648,6.5,1606,8.01,1909,160,0.983,3.524
24.093,5.76,3167,12.23,1927,140,0.96,3.52
25.048,4.8,1397,10.35,1909,130,1.072,3.52
25.048,4.8,1397,10.35,1909,130,1.072,3.52
16.623,6.75,2348,10.1,1928,160,0.87,3.51
23.35,6.75,4766,10.39,1928,160,0.87,3.51
6.368,12,3647,10.7,1910,80,0.9,3.5
6.368,12,3647,10.7,1907,80,0.9,3.5
7.102,13.2,17339,27.94,2010,200,1.32,3.5
6.379,13.2,8160,16.3,2010,200,1.32,3.5
7.07,12.8,6782,12.47,1971,80,1.26,3.5
7.07,12.8,6782,12.47,1971,80,1.26,3.5
7.07,12.8,6782,12.47,1971,80,1.26,3.5
7.107,12.8,8736,15.9,1971,80,1.26,3.5
14.999,6,1216,10.29,1927,130,0.92,3.5
15.095,6,1216,10.16,1927,130,0.92,3.5
27.71,5.6,2990,9.77,1923,140,1.04,3.5
19.968,5,907,8.98,1904,140,0.887,3.5
