ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
18332,9.264,9.5,1847,6.52,1913,120,1.04,0.65,1,26.1,0
18338,33.722,4.7,1689,7.51,1927,140,0.934,0.41,1,0,0
18345,9.191,7.3,982,10.1,1950,160,1.074,0.49,2,17.001,0
18348,13.773,5.7,861,10.61,1971,160,0.883,0.37,1,0,0
18349,13.773,5.7,861,10.61,1971,160,0.883,0.37,1,0,0
18352,9.609,5.8,451,10.65,1982,160,1.08,0.3,1,0,1
18355,19.602,5.4,1687,12.74,1967,100,2.12,0.47,2,0,1
18357,21.872,4,539,10.86,1907,100,1.172,0.35,2,0,1
18361,7.349,10,3261,14.9,1979,160,1.34,0.57,1,0,1
18362,23.112,6,4175,14.88,1934,160,0.97,0.7,1,0,1
18369,21.047,4.5,572,7.77,1902,160,0.77,0.39,1,0,1
18374,13.324,7.5,2083,9.15,1905,140,0.93,0.55,1,21.06,1
18375,4.947,12.3,3594,15.83,1990,160,1.24,0.57,1,0,0
18404,12.621,8,1896,7.17,1914,160,1.05,0.56,1,9.9999,1
18438,21.81,8,10689,13.537,1931,160,1.229,0.5,1,0,1
18442,20.719,7.6,9118,15.709,1931,160,1.051,0.7,1,0,1
18478,7.063,12.56,10778,21.42,1934,120,1.4,0.82,1,5.823,1
18501,6.145,11.21,4495,18.6,1977,160,0.96,0.59,1,7.79310000000001,1
18531,12.501,7.21,2142.9,12.52,1921,120,0.938,0.42,2,40.266,1
18537,11.624,9.3,5329,13.01,1926,140,0.943,0.63,1,0,1
18538,6.335,8.9,1245,12.2,2003,140,1.735,0.38,1,0,0
18539,18.626,4.6,989,15.71,1932,140,0.845,0.3,1,0,1
18540,18.615,4.6,1184,18.83,1932,140,0.845,0.3,1,0,1
18582,3.767,21.47,25197,20.62,2002,100,1.14,1.14,1,0,0
18608,10.322,7.72,1474,9.61,1931,140,1.246,0.52,0,6.03,1
18616,10.904,8.35,2319,9.9,1959,120,1.147,0.7,0,0,0
18622,6.356,16.58,22446,18.14,1977,140,1,1.23,0,0,1
18640,9.036,8.7,3166,16.7,1917,140,1.209,0.63,2,0,0
18648,4.828,15.7,10492,18.28,2004,160,1,0.9,1,0,0
18674,4.185,15.7,8058,18.68,2001,160,1.38,0.88,1,0,0
18675,13.183,6.7,1171,8.25,1925,140,1.6,0.5,1,0,1
18676,13.183,6.7,1171,8.25,1925,140,1.6,0.5,1,0,1
18687,17.772,5.9,1824,11.76,1928,160,1,0.55,1,0,1
18698,8.162,9.4,2808,13.32,1981,110,1.064,0.54,1,0,0
18699,11.062,6.58,1097,11.8,1979,110,1.59,0.4,1,14.0004,0
18727,9.298,6.2,496,9.58,1976,160,1.179,0.32,1,0,0
18734,24.285,4,298,4.87,1915,120,1.256,0.29,0,0,0
18750,6.679,9.2,1717,13.255,1986,100,1,0.44,1,0,1
18761,14.492,7.7,2690,8.99,1906,160,0.905,0.5,1,0,1
18764,15.999,5.4,1100,12.47,1937,160,1.167,0.41,1,0,1
18797,6.174,11.38,3830,14.78,1988,150,1.56,0.6,1,9,0
18802,14.46,6.6,1378,8.57,1912,160,1.047,0.49,1,0,1
18808,23.819,5.2,1313,7.81,1914,200,0.89,0.37,1,0,0
18812,23.819,5.2,1313,7.81,1914,200,0.89,0.37,0,0,0
18853,24.595,5.7,2003,7.74,1930,130,1.27,0.5,1,0,0
18855,16.758,6.2,1406,8.36,1927,90,1.18,0.41,1,35.1,0
18883,12.019,6.4,1193.4,12.15,1964,150,1.29,0.42,1,29.997,1
18884,11.58,5.7,652.9,11.38,1974,160,0.88,0.35,1,0,1
18885,17.006,6,1715,11.29,1968,160,1.31,0.51,1,0,0
18886,11.162,6.2,832,11.15,1971,160,0.853,0.36,1,0,0
18887,7.515,7.5,604,8.34,1903,140,1.33,0.5,1,0,0
18890,9.76,5.8,480.1,10.99,1981,160,1.2,0.3,1,0,1
18891,17.969,6.25,1252,6.27,1904,140,1.125,0.5,0,0,1
18895,6.266,13.2,9623,19.92,1979,130,1.88,0.8,2,0,1
18896,5.055,11.2,2788,17.11,1979,130,1.97,0.48,2,2.9925,0
18902,15.306,7.5,4476,14.9,1934,140,1.77,0.67,1,9,1
18904,19.051,5.42,1178,9.28,1909,130,0.939,0.48,1,9.9,1
18905,19.366,5.42,1498,11.42,1909,130,0.939,0.48,1,9.9,1
18912,5.383,13.36,6386,17.07,1979,130,1.39,0.7,1,5.22,0
18915,3.691,19.5,15586,19.52,1987,150,1.25,0.93,1,0,0
18919,26.304,4.5,744,6.47,1904,100,2.83,0.42,1,0,1
18954,9.468,11.85,14829,20.7,2006,100,2.45,0.95,0,0,0
18957,20.719,7.6,9118,15.709,1931,160,1.051,0.7,1,0,1
18990,16.26,5.5,1004,10.24,1913,120,1.12,0.4,1,0,0
18996,5.209,11.6,2373,11.92,1983,120,2.02,0.46,1,0,0
19003,4.797,11,1847.4,13.53,1995,120,0.989,0.54,0,0,0
19019,4.317,16.88,8665,14.13,1976,140,1.37,0.76,0,7.173,0
19020,25.273,4.4,848,8.74,1919,140,1.349,0.5,0,0,1
19058,11.018,5.49,632,14.14,1985,160,0.95,0.3,1,0.054000000000002,1
19064,6.761,11.74,5898,16.76,2006,160,1.48,0.7,1,0,0
19067,8.219,10.8,9743,26.16,1973,120,1.038,0.65,1,0,1
19076,10.028,9.3,3802,12.47,1926,140,0.943,0.63,1,0,1
19078,8.445,6.55,582,10.94,1986,140,1.37,0.3,1,0,0
19121,6.288,11.09,3396,14.01,1989,160,1.217,0.59,1,25.2,0
19135,12.071,6.4,641,6.47,1928,160,0.974,0.38,1,0,0
19143,15.714,5.2,641,8.76,1932,160,1.12,0.41,1,0,1
19144,10.069,7.72,1296,8.88,1931,140,1.246,0.52,1,5.03999999999999,1
19145,15.543,5.2,635,8.87,1932,160,1.12,0.41,0,0,1
19156,21.714,5.75,2047,9.8,1959,120,1.15,0.7,1,0,0
19158,6.356,16.58,22446,18.14,1977,140,1,1.23,0,0,1
19177,5.831,12.4,5147,15.8,1971,160,1.25,0.65,1,0,0
19179,8.835,8.8,3206,16.9,1919,140,1.229,0.61,2,9,0
19213,13.456,6,893,9.39,1988,160,1,0.4,1,0,0
19214,5.122,15.8,12438,18.77,1998,160,1,0.9,1,0,1
19221,15.278,5.3,530,7.1,1925,140,0.827,0.42,1,0,0
19232,4.322,18.52,17706,19.88,1979,160,1.9,0.94,1,0,1
19240,11.062,6.58,1097,11.8,1979,110,1.47,0.4,1,14.0004,0
19242,14.591,8.1,4446,11.97,1956,110,1,0.67,1,0,1
19259,8.95,6.2,496,10.34,1976,160,1.179,0.32,1,0,0
19265,4.728,14.35,6108,15.9,1980,160,1.714,0.7,1,17.658,0
19287,10.947,6.38,1100,13.67,1999,110,0.859,0.4,1,1.35,0
