ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
4776,3.898,16.9,8087,16.1,1975,100,1.24,1.1
5256,3.169,25.085,34096,21.16,2011,120,2,1.1
5257,3.169,25.085,34096,21.16,2011,120,2,1.1
5284,3.178,24.974,34448,21.63,2011,120,2,1.1
5285,3.178,24.974,34448,21.63,2011,120,2,1.1
5685,30.942,4.3,1269.5,9.57,1983,200,0.99,1.1
5686,20.742,4.3,1253.3,21.025,1983,200,0.99,1.1
5803,4.957,16,11008,16.87,1974,160,1.31,1.1
5804,4.957,16,11008,16.87,1974,160,1.31,1.1
5812,5.751,11.5,3273,13.96,1972,160,1.39,1.1
5813,5.751,11.5,3273,13.96,1972,160,1.39,1.1
5851,4.935,16,10775,16.66,1973,160,1.32,1.1
5852,4.935,16,10775,16.66,1973,160,1.32,1.1
5869,5.299,15,8491,14.74,1973,160,1.31,1.1
5870,5.977,15,9946,13.57,1973,160,1.31,1.1
6209,3.955,14.45,3977,14.39,1983,130,1.32,1.1
6844,5.112,12.7,3913,14.2,1977,120,1.057,1.1
7737,4.208,16.2,7468,15.11,1991,200,1.04,1.1
8112,36.981,4.5,2807,12.35,1964,140,0.86,1.1
8113,36.981,4.5,2807,12.35,1964,140,0.86,1.1
10011,5.584,17.75,25781,20.55,1984,140,1.08,1.1
10012,5.282,18.25,25781,20.55,1984,140,1.08,1.1
15441,19.109,5,1430,15.46,1934,150,1.1,1.1
16936,8.61,6.6,622,10.91,1992,140,1.14,1.1
16996,19.341,4.97,1430,15.46,1934,150,1.1,1.1
18020,8.61,6.6,622,10.91,1992,140,1.14,1.1
18319,18.881,5.8,1532,9.37,1928,90,1.1,1.1
18954,9.468,11.85,14829,20.7,2006,100,2.45,1.1
20924,4.902,12.686,3503,13.89,1982,140,1.24,1.1
21786,10.203,6.71,863,10.09,1980,140,1.1,1.1
22232,5.201,12.7,3913,13.72,1977,120,1.057,1.1
22592,13.569,7.56,6635,27.22,1914,160,1.098,1.1
22595,10.173,6.72,863,10.09,1980,140,1.1,1.1
23142,11.008,6.46,863,10.09,1980,140,1.1,1.1
23749,15.647,8.65,7894,14.21,1939,100,1.087,1.1
23911,10.173,6.72,863,10.09,1980,140,1.1,1.1
25567,4.902,12.686,3503,13.89,1982,140,1.24,1.1
25867,11.008,6.46,863,10.09,1980,140,1.1,1.1
26090,10.203,6.71,863,10.09,1980,140,1.1,1.1
27423,5.479,12.8,4131,12.65,1984,120,1.056,1.1
28225,5.479,12.8,4131,12.65,1984,120,1.056,1.1
29137,5.479,12.8,4131,12.65,1984,120,1.056,1.1
30206,5.479,12.8,4131,12.65,1984,120,1.056,1.1
33074,3.896,13.95,4188,17.98,2013,160,1.1,1.1
33117,12.612,6.5,947,8.23,1934,140,0.95,1.1
34684,4.098,13.95,4351,16.88,2013,160,1.1,1.1
34692,3.312,19.4,10404,16.52,1989,140,1,1.1
36062,3.32,19.4,10404,16.44,1989,140,1,1.1
36159,3.874,13.95,3703,16.08,2013,160,1.1,1.1
39634,5.65,11.7,3964,16.35,1989,130,1.1,1.1
40734,7.364,12.8,8579,14.54,1982,140,1.057,1.1
42656,4.527,16.2,11058,19.33,1983,140,1.22,1.1
45427,6.816,11.45,4722,14.59,1984,160,1.76,1.1
47970,4.137,13.95,4281,16.3,2013,160,1.1,1.1
49635,4.708,17.5,20011,23.75,1979,160,1.02,1.1
50305,4.752,17.5,17264,20.11,1979,160,1.02,1.1
50753,6.816,11.45,4722,14.59,1984,160,1.76,1.1
56893,7.364,12.8,8579,14.54,1982,140,1.057,1.1
36569,6.23,12.54,6808,17.5,1979,140,1.058,1.099
49716,4.883,14.96,8553,17.67,1974,130,1.038,1.099
51438,4.909,14.96,8184,16.73,1974,130,1.038,1.099
54490,6.223,12.54,5970,15.38,1979,140,1.058,1.099
20829,11.807,8.6,3483,11.27,1915,160,1.087,1.098
21463,11.807,8.6,3483,11.27,1915,160,1.087,1.098
21684,13.194,8.1,4166.9,13.72,1980,160,1.104,1.098
22745,12.731,8.1,3430,12.13,1985,120,1.104,1.098
22865,13.194,8.1,4166.9,13.72,1980,160,1.104,1.098
23132,6.017,8.85,603,6.7,1968,110,1.098,1.098
23821,13.439,8.1,5202,16.51,1972,120,1.104,1.098
24320,5.824,8.85,603,7.15,1968,110,1.098,1.098
24469,13.439,8.1,5202,16.51,1972,120,1.104,1.098
25095,12.731,8.1,3430,12.13,1990,120,1.104,1.098
27375,11.807,8.6,3483,11.27,1915,120,1.087,1.098
28248,12.696,8.1,2756,9.8,1980,160,1.104,1.098
16134,4.525,15.8,9687,18.73,1985,140,1.379,1.097
19327,4.588,15.8,9687,18.22,1985,140,1.034,1.097
7612,35.1,2.6,230,10.08,1932,140,1.095,1.095
7613,35.1,2.6,230,10.08,1932,140,1.095,1.095
23143,4.899,9.8,1162,12.95,1985,100,1.34,1.094
25251,4.899,9.8,1162,12.95,1985,100,1.34,1.094
6651,12.196,10.25,9103,13.68,1933,200,1.33,1.093
6656,11.921,10.25,10019,15.76,1933,200,1.33,1.093
12017,5.238,14.9,9789,17.86,1993,200,1.093,1.093
