ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
3444,4.5,12.895,202,7.31,1973,160,0.828,0.824,1
3449,4.6,20.251,669,8.99,1936,160,0.91,0.904,1
3450,4.6,20.529,608,7.95,1936,160,0.91,0.904,1
3528,4,53.953,2543,8.42,1984,140,1,1,1
3529,4,53.953,2543,8.42,1984,140,1,1,1
3534,10.5,5.622,3172,20.37,1976,130,1.04,1.051,1
3535,10.5,5.622,3172,20.37,1976,130,1.04,1.051,1
3547,7.5,11.979,7570,41.14,1915,100,0.946,0.949,1
3555,16.5,3.497,8780,23.9,1975,160,1.107,1.181,1
3556,16.5,3.497,8780,23.9,1975,160,1.107,1.181,1
3565,3.7,24.062,314,7.14,1927,160,0.91,0.91,1
3566,3.7,24.062,314,7.14,1927,160,0.91,0.91,1
3582,2.2,61.91,258,7.09,1926,250,1.06,1.79,1
3583,2.2,59.098,317,9.56,1926,250,1.06,1.76,0
3598,4.72,13.064,326.13,9.5,1979,200,1.29,1,0
3599,4.72,13.204,326.13,9.3,1979,200,1.29,1,1
3604,3.76,20.805,466.7,13.31,1994,200,1.98,1.67,1
3605,3.76,20.75,402.5,11.54,1994,200,1.98,1.67,0
3608,13.55,5.574,8133,19.16,1993,200,1.208,1.133,1
3609,13.55,5.574,8133,19.16,1993,200,1.208,1.133,1
3612,7,17.615,2642,8.75,1970,80,0.81,1,0
3618,2.3,38.117,102,6.19,1929,140,0.69,0.7,1
3619,2.3,38.117,102,6.19,1929,140,0.69,0.7,1
3620,13.12,4.992,4920,16.44,1981,140,1,1,1
3621,13.78,4.488,5376,18.26,1998,140,1,1,1
3654,2.7,65.352,1263,13.73,1954,160,0.687,0.705,1
3655,2.7,65.664,1263,13.6,1954,160,0.687,0.705,1
3656,5.6,11.908,668,11.82,1983,160,0.878,0.766,1
3657,3.8,23.01,519,11.6,2003,160,0.902,0.684,1
3658,3.8,23.01,519,11.6,2003,160,0.902,0.684,1
3659,4.3,18.166,519,11.35,2004,160,1.078,1,1
3666,11.77,6.037,4498.9,15.87,1979,200,0.999,1.028,1
3668,11.3,6.084,4058.2,16.59,1989,200,1,1,1
3675,15.95,4.588,10246.3,18.56,1990,200,1,1,1
3676,15.95,4.588,10246.3,18.56,1990,200,1,1,1
3678,13.93,4.655,5658,17.11,1979,200,1.109,1.165,1
3694,8.65,6.385,1260,13.621,2001,140,0.98,1,1
3695,8.65,6.392,1260,13.592,2001,140,0.98,1,1
3830,5.7,21.4,1798.5,9.18,1962,60,0.62,0.91,0
3835,5.7,18.79,1793,11.87,1914,60,0.62,0.91,1
3840,5.7,18.016,1690,12.17,1914,60,0.62,0.91,1
3841,5.7,18.304,1480.6,10.33,1962,60,0.62,0.91,0
3875,4.1,30.887,2030,18.58,1914,160,0.96,0.91,1
3876,4.13,35.759,2141,14.2,1914,160,1.03,0.91,1
3877,3.55,48.398,2141,14.2,1914,160,0.76,0.76,1
3878,4.06,35.117,1100,8.1,1914,160,0.96,0.91,1
3879,4,41.315,1160,6.55,1914,160,1.03,0.91,1
3886,12.5,5.327,4871,17.35,1986,160,1.264,1.264,1
3887,12.9,5.053,5212,18.19,1986,160,1.264,1.264,1
3892,5.15,13.89,544,9.89,1974,160,1.05,1,1
3893,5.15,13.449,544,10.55,1974,160,1.05,1,1
3901,3.35,31.587,603,11.84,1923,160,0.931,0.768,1
3903,11,7.732,5044,14.22,1909,160,1,0.86,1
3904,11,7.596,5173,15.11,1909,160,1,0.86,0
3930,6.75,16.623,2348,10.1,1928,160,0.87,3.51,1
3931,6.75,23.35,4766,10.39,1928,160,0.87,3.51,1
